,ID,Condition,MORPH_TYPE,CON_2
272,545,2,2,4.67
273,546,2,1,5.67
274,546,2,2,7.25
275,546,2,1,5.71
276,546,2,2,6.83
277,547,2,1,7
278,547,2,2,6.2
279,547,2,1,7
280,547,2,2,7.38
281,551,2,1,4.5
282,551,2,2,5.29
283,551,2,1,4.5
284,551,2,2,5.67
